time;cpu;event
0.00197601318359375;100.0;
0.0034589767456054688;100.0;invoked
0.08574914932250977;100.0;input file opened
0.22530221939086914;100.0;pre-buffer finished
5.010815858840942;100.0;
10.018382549285889;100.0;
15.021973133087158;0.0;
20.028462171554565;100.0;
25.037091732025146;100.0;
30.04518413543701;100.0;
35.05642914772034;0.0;
40.06451082229614;100.0;
45.07377099990845;100.0;
50.07837510108948;100.0;
55.097599267959595;100.0;
60.11102652549744;100.0;
65.11854529380798;100.0;
70.12352967262268;0.0;
71.512211561203;100.0;encoding finished
75.1314947605133;60.3;
80.13880944252014;62.1;
85.1468505859375;62.7;
90.15557837486267;62.4;
95.1597068309784;60.4;
100.17619371414185;59.8;
105.18173027038574;59.8;
110.19034624099731;61.6;
115.19848608970642;60.7;
120.20649409294128;60.6;
125.21532893180847;60.7;
130.2239053249359;57.4;
134.71834540367126;58.8;playback finished
